time,amp,sigma
11.173102,2.331641,0.121745
11.190324,2.320093,0.113426
11.207546,2.328947,0.088834
11.224769,2.215636,0.116426
11.266389,2.247048,0.090292
11.322269,2.13496,0.080005
11.373889,2.11402,0.073239
11.391065,2.018167,0.085001
11.408287,2.076956,0.089684
11.425509,2.1298,0.07352
11.441278,2.122148,0.06323
11.485694,2.098605,0.047418
11.502917,2.153043,0.058697
11.520139,2.139561,0.055546
11.571806,2.075071,0.055686
11.589028,2.045452,0.05037
11.606157,2.097115,0.046506
11.657824,2.084366,0.033869
11.675046,2.075848,0.044798
11.692269,2.154585,0.044995
11.707944,2.144616,0.040919
11.735231,2.130814,0.035907
11.769676,2.130687,0.036222
11.786898,2.154586,0.044025
11.804074,2.089442,0.049751
11.82125,2.128559,0.030179
11.838472,2.171041,0.041823
11.855694,2.230681,0.044705
11.890139,2.180893,0.035996
11.907361,2.216493,0.038319
12.047824,2.358742,0.048427
12.065046,2.410757,0.033618
12.082269,2.430349,0.026176
12.133843,2.461281,0.024724
12.185509,2.462687,0.028209
12.23713,2.454813,0.034765
12.254306,2.426139,0.027608
12.271528,2.426729,0.036663
12.28875,2.471017,0.028608
12.323194,2.448487,0.027546
12.340417,2.419713,0.040696
12.357546,2.455828,0.025396
12.374769,2.44788,0.027588
12.391991,2.432052,0.041392
12.409213,2.402696,0.042234
12.426435,2.479524,0.053995
12.443657,2.469784,0.028407
12.459333,2.403924,0.040522
12.48662,2.376616,0.026737
12.503843,2.43175,0.024217
12.521065,2.382273,0.030004
12.538287,2.43052,0.029194
12.555463,2.422429,0.039549
12.572639,2.454112,0.024135
12.589861,2.412301,0.02528
12.607083,2.400999,0.028139
12.624306,2.37059,0.032002
12.641528,2.389709,0.035585
12.65875,2.35183,0.031124
12.67588,2.371101,0.028562
12.693102,2.364731,0.028746
12.710324,2.323857,0.031267
12.727546,2.280598,0.033701
12.744769,2.296562,0.038684
12.761991,2.29153,0.018576
12.77625,2.268639,0.02571
12.802083,2.275975,0.024734
12.819306,2.304962,0.032006
12.836528,2.272888,0.03818
12.85375,2.268808,0.025637
12.870972,2.217994,0.056296
12.888102,2.256856,0.032214
12.905324,2.365338,0.024213
12.922546,2.295474,0.028868
12.939769,2.33952,0.028382
12.956991,2.28581,0.046156
12.974213,2.324775,0.034707
12.989944,2.268009,0.054469
13.117546,2.267585,0.033631
13.134769,2.296788,0.025041
13.151991,2.257412,0.035601
13.169213,2.23875,0.04448
13.186435,2.266916,0.026929
13.203611,2.316154,0.039375
13.220787,2.209351,0.038201
13.238009,2.234983,0.039629
13.255231,2.261721,0.020925
13.272454,2.241255,0.03698
13.289676,2.28676,0.040289
13.318287,2.263748,0.016923
13.335509,2.177146,0.043299
13.352731,2.259813,0.030928
13.369954,2.251511,0.036372
13.387176,2.180824,0.031576
13.404398,2.25976,0.014034
13.421528,2.258973,0.03283
13.43875,2.235849,0.027618
13.455972,2.261171,0.047703
13.473194,2.26707,0.030459
13.490417,2.239445,0.049627
13.507639,2.238179,0.035857
13.524815,2.235249,0.042815
13.541991,2.220732,0.034813
13.557778,2.232088,0.047448
13.685417,2.204705,0.026347
13.702639,2.166615,0.040295
13.719861,2.161119,0.034788
13.737083,2.17532,0.026557
13.754213,2.17968,0.03488
13.771435,2.150997,0.046943
13.788657,2.191766,0.019197
13.80588,2.160482,0.052767
13.823102,2.184587,0.027827
13.840324,2.205481,0.045552
13.857454,2.155596,0.044664
13.874676,2.184276,0.027292
13.90338,2.176723,0.037831
13.920602,2.203766,0.02319
13.937824,2.17183,0.050072
13.955,2.197206,0.034039
13.972176,2.227669,0.032945
13.989398,2.240361,0.027874
14.00662,2.221271,0.037067
14.023843,2.252372,0.044065
14.041065,2.249895,0.040258
14.058241,2.243795,0.031977
14.084028,2.300197,0.036695
14.10125,2.215944,0.053551
14.118472,2.24396,0.03083
14.135694,2.2686,0.028188
14.152917,2.303652,0.031836
14.170139,2.320626,0.034421
14.187269,2.331752,0.037431
14.204491,2.263271,0.037947
14.221713,2.333751,0.035796
14.238935,2.340177,0.036404
14.256157,2.346916,0.027747
14.27338,2.303604,0.048288
14.301991,2.381451,0.036348
14.319213,2.367624,0.037451
14.336435,2.385927,0.041568
14.353657,2.440227,0.030143
14.37088,2.436829,0.025713
14.388056,2.423362,0.035885
14.405231,2.468277,0.048477
14.537176,2.464185,0.027536
14.554398,2.407435,0.026143
14.57162,2.424836,0.028767
14.588843,2.440087,0.023961
14.605972,2.43038,0.019945
14.623194,2.434507,0.020839
14.640417,2.42619,0.024333
14.657639,2.448329,0.032113
14.674861,2.407003,0.034906
14.692083,2.396788,0.023345
14.709259,2.400256,0.02118
14.726435,2.444262,0.026831
14.743657,2.403507,0.033751
14.76088,2.42632,0.041351
14.776667,2.413517,0.050919
14.801065,2.455437,0.018795
14.818194,2.427071,0.020963
14.835417,2.448579,0.020403
14.852639,2.444201,0.027999
14.869861,2.428594,0.027059
14.887083,2.410464,0.028055
14.904306,2.434497,0.03202
14.921481,2.421003,0.026607
14.938657,2.442675,0.017107
14.95588,2.455157,0.02556
15.084954,2.395204,0.029282
15.102176,2.388526,0.033487
15.119398,2.371302,0.034724
15.136574,2.353628,0.026156
15.15375,2.339504,0.038934
15.170972,2.35245,0.033049
15.188194,2.318114,0.028231
15.205417,2.314347,0.041554
15.222639,2.293964,0.033597
15.239861,2.267166,0.035253
15.268472,2.272853,0.04446
15.285694,2.241837,0.033367
15.302917,2.256269,0.033318
15.320139,2.258565,0.038005
15.337361,2.272518,0.026259
15.354537,2.250141,0.031097
15.371713,2.265865,0.040955
15.388935,2.267235,0.032823
15.406157,2.223747,0.046284
15.42338,2.228755,0.037135
15.440602,2.248299,0.023647
15.457778,2.216967,0.027879
15.486435,2.213773,0.035267
15.503657,2.196201,0.037122
15.52088,2.218317,0.029949
15.538102,2.177328,0.029615
15.555324,2.212241,0.022514
15.5725,2.19738,0.02535
15.589676,2.186884,0.03784
