time,amp,sigma
11.236528,2.739167,0.054577
11.25375,2.688598,0.073308
11.270972,2.621799,0.050163
11.322639,2.730108,0.043489
11.356991,2.681268,0.047553
11.374213,2.666905,0.038143
11.391435,2.66873,0.047268
11.408657,2.683883,0.055885
11.443056,2.664552,0.034217
11.503287,2.606186,0.042907
11.520509,2.624425,0.032339
11.537731,2.663364,0.035385
11.589306,2.598276,0.03316
11.606528,2.559563,0.065196
11.62375,2.537376,0.042433
11.640972,2.588406,0.036028
11.704028,2.583312,0.044599
11.72125,2.635187,0.039889
11.738472,2.640256,0.033687
11.755694,2.618822,0.039581
11.77287,2.556462,0.039095
11.790046,2.600915,0.044667
11.807269,2.626105,0.044534
11.841713,2.580404,0.028364
11.858935,2.523297,0.038477
11.876111,2.452539,0.029961
11.893287,2.439505,0.036906
11.910509,2.533815,0.026309
11.927731,2.54863,0.032003
11.944954,2.533845,0.044692
11.979352,2.590666,0.034044
11.990833,2.564797,0.052684
12.01375,2.619726,0.042887
12.030972,2.541186,0.029984
12.048194,2.563095,0.03411
12.065417,2.59413,0.023468
12.116991,2.67519,0.032822
12.134213,2.686851,0.034852
12.151435,2.669583,0.03556
12.162917,2.655642,0.049965
12.303426,2.748326,0.040232
12.320602,2.753707,0.051294
12.337824,2.715602,0.020094
12.355046,2.70825,0.027219
12.372269,2.724208,0.034239
12.389491,2.761258,0.036224
12.406713,2.680404,0.025622
12.423843,2.725892,0.031438
12.441065,2.745254,0.023506
12.458287,2.691078,0.025007
12.474056,2.746593,0.030673
12.501343,2.760847,0.038234
12.518519,2.779217,0.026336
12.535694,2.738601,0.020796
12.552917,2.740993,0.045666
12.570139,2.772313,0.02395
12.587361,2.775023,0.035491
12.604583,2.722596,0.031379
12.621806,2.735167,0.037332
12.638935,2.702364,0.038603
12.656157,2.710613,0.035544
12.67338,2.764408,0.036788
12.690602,2.714212,0.02893
12.707824,2.770463,0.036429
12.725046,2.765823,0.025878
12.740722,2.748997,0.033519
12.768009,2.689731,0.031906
12.785231,2.695861,0.022705
12.802454,2.676388,0.040183
12.819676,2.693308,0.038278
12.836852,2.653051,0.027988
12.854028,2.673013,0.026455
12.87125,2.647741,0.030414
12.888472,2.632493,0.035856
12.905694,2.61941,0.034279
12.922917,2.616816,0.031933
13.06912,2.646066,0.036857
13.086343,2.655351,0.032382
13.103565,2.649071,0.04395
13.120787,2.641487,0.048518
13.138009,2.650447,0.0361
13.155231,2.64148,0.027564
13.172361,2.636751,0.027661
13.189583,2.614083,0.041247
13.206806,2.599398,0.030657
13.224028,2.605643,0.027167
13.24125,2.590211,0.024517
13.269907,2.531319,0.029424
13.287083,2.567298,0.030928
13.304306,2.544362,0.044246
13.321528,2.512009,0.022953
13.33875,2.520341,0.027398
13.355972,2.576288,0.02934
13.373194,2.570402,0.042508
13.390324,2.546969,0.034609
13.407546,2.56772,0.061396
13.423333,2.600814,0.053073
13.568194,2.599816,0.034414
13.585417,2.593498,0.041219
13.602546,2.598541,0.031522
13.619769,2.600251,0.034092
13.636991,2.610494,0.03762
13.654213,2.59325,0.030034
13.671435,2.569901,0.036844
13.688657,2.515153,0.035513
13.705787,2.545124,0.031688
13.723009,2.541288,0.044047
13.740231,2.546829,0.051267
13.768935,2.578446,0.037866
13.786157,2.525433,0.043459
13.80338,2.471349,0.032273
13.820509,2.551417,0.037264
13.837731,2.568376,0.066758
13.854954,2.529244,0.041918
13.872176,2.566856,0.030718
13.889398,2.542837,0.027837
13.90662,2.539405,0.042226
13.92375,2.565784,0.042377
13.940972,2.58661,0.036072
13.958194,2.559099,0.036028
13.975417,2.539797,0.039835
14.008444,2.538943,0.057588
14.035602,2.506159,0.044058
14.070046,2.525195,0.036561
14.087269,2.585454,0.05725
14.104491,2.62907,0.051823
14.121713,2.573475,0.047462
14.138843,2.572368,0.049414
14.156065,2.544826,0.055196
14.173287,2.601737,0.036792
14.190509,2.575879,0.052536
14.219213,2.611064,0.039609
14.236389,2.582216,0.020662
14.253565,2.606153,0.04523
14.270787,2.630272,0.047571
14.288009,2.622003,0.040691
14.305231,2.580681,0.056779
14.322454,2.617497,0.052203
14.33963,2.54831,0.032135
14.356806,2.57004,0.049539
14.374028,2.561927,0.053665
14.402731,2.571424,0.027485
14.419954,2.528166,0.044823
14.437176,2.354116,0.045753
14.454352,2.537771,0.041299
14.471528,2.563813,0.045356
14.48875,2.555131,0.051574
14.540417,2.541253,0.047831
