time,amp,sigma
11.173102,2.246568,0.098915
11.190324,2.274255,0.119111
11.207546,2.284843,0.103431
11.224769,2.152026,0.118712
11.266389,2.186612,0.135229
11.322269,2.142549,0.086455
11.373889,2.107449,0.06743
11.391065,2.027183,0.063763
11.408287,2.066772,0.073617
11.425509,2.097681,0.051977
11.441278,2.109,0.06956
11.485694,2.06239,0.059782
11.502917,2.053944,0.042507
11.520139,2.05746,0.056393
11.571806,2.022766,0.085662
11.589028,2.053238,0.037371
11.606157,2.083372,0.043294
11.657824,2.043535,0.036432
11.675046,2.045786,0.039245
11.692269,2.106325,0.042737
11.707944,2.124162,0.041833
11.735231,2.141924,0.040072
11.769676,2.107726,0.032524
11.786898,2.197725,0.03604
11.804074,2.099973,0.055226
11.82125,2.119625,0.03831
11.838472,2.126488,0.033123
11.855694,2.205663,0.034898
11.890139,2.160417,0.045419
11.907361,2.215912,0.033875
12.047824,2.340917,0.061692
12.065046,2.453456,0.039256
12.082269,2.411039,0.035288
12.133843,2.494796,0.036378
12.185509,2.462553,0.033417
12.23713,2.400539,0.033206
12.254306,2.423817,0.024705
12.271528,2.459128,0.045373
12.28875,2.43353,0.039434
12.323194,2.47423,0.030497
12.340417,2.433773,0.032723
12.357546,2.474152,0.031122
12.374769,2.481128,0.029778
12.391991,2.482046,0.031969
12.409213,2.482885,0.036263
12.426435,2.492596,0.059663
12.443657,2.472434,0.034588
12.459333,2.457746,0.028911
12.48662,2.419313,0.051836
12.503843,2.46563,0.027984
12.521065,2.457887,0.027632
12.538287,2.42501,0.035832
12.555463,2.390792,0.037654
12.572639,2.441338,0.024194
12.589861,2.451722,0.042183
12.607083,2.433788,0.043111
12.624306,2.369302,0.037793
12.641528,2.416035,0.037348
12.65875,2.315896,0.034751
12.67588,2.351939,0.038204
12.693102,2.377541,0.048467
12.710324,2.374357,0.030839
12.727546,2.367781,0.037475
12.744769,2.341315,0.04366
12.761991,2.341706,0.02763
12.77625,2.256765,0.037565
12.802083,2.275611,0.044177
12.819306,2.30857,0.05311
12.836528,2.277853,0.032454
12.85375,2.318076,0.032389
12.870972,2.202145,0.067189
12.888102,2.307587,0.036914
12.905324,2.300867,0.036663
12.922546,2.394306,0.043805
12.939769,2.392294,0.036758
12.956991,2.35443,0.048054
12.974213,2.312894,0.025471
12.989944,2.369829,0.065919
13.117546,2.337771,0.039738
13.134769,2.317616,0.037474
13.151991,2.300024,0.049021
13.169213,2.231456,0.049287
13.186435,2.336705,0.043874
13.203611,2.276931,0.043376
13.220787,2.269266,0.033251
13.238009,2.281309,0.048011
13.255231,2.247804,0.042964
13.272454,2.287824,0.042965
13.289676,2.243419,0.037767
13.318287,2.304855,0.03442
13.335509,2.227943,0.042387
13.352731,2.276391,0.040777
13.369954,2.263574,0.032124
13.387176,2.251675,0.025163
13.404398,2.296496,0.047536
13.421528,2.27179,0.036594
13.43875,2.268933,0.031169
13.455972,2.260859,0.026953
13.473194,2.215855,0.03789
13.490417,2.249314,0.055793
13.507639,2.227633,0.028271
13.524815,2.257636,0.039577
13.541991,2.232093,0.033999
13.557778,2.252215,0.04391
13.685417,2.238894,0.035229
13.702639,2.184567,0.034223
13.719861,2.160597,0.050813
13.737083,2.17766,0.044776
13.754213,2.181815,0.037345
13.771435,2.180635,0.036176
13.788657,2.196548,0.032637
13.80588,2.214755,0.039929
13.823102,2.214584,0.047653
13.840324,2.202676,0.058236
13.857454,2.20544,0.03196
13.874676,2.201094,0.025392
13.90338,2.225545,0.025604
13.920602,2.248418,0.036899
13.937824,2.239013,0.04165
13.955,2.256275,0.058635
13.972176,2.208136,0.023608
13.989398,2.274533,0.056924
14.00662,2.234036,0.037688
14.023843,2.233959,0.034318
14.041065,2.232782,0.038409
14.058241,2.235999,0.033866
14.084028,2.286298,0.029085
14.10125,2.267155,0.047767
14.118472,2.25522,0.041016
14.135694,2.304498,0.039689
14.152917,2.336199,0.048132
14.170139,2.307403,0.026387
14.187269,2.312431,0.032147
14.204491,2.308355,0.027701
14.221713,2.360593,0.050355
14.238935,2.394925,0.043375
14.256157,2.384767,0.045262
14.27338,2.316523,0.059292
14.301991,2.407314,0.031654
14.319213,2.392591,0.049602
14.336435,2.422721,0.041818
14.353657,2.440233,0.026741
14.37088,2.435513,0.025946
14.388056,2.456285,0.040461
14.405231,2.489218,0.03672
14.537176,2.445741,0.039706
14.554398,2.471008,0.023989
14.57162,2.411761,0.048654
14.588843,2.432134,0.029807
14.605972,2.418131,0.027402
14.623194,2.408912,0.039038
14.640417,2.425327,0.022893
14.657639,2.421011,0.038116
14.674861,2.399535,0.025279
14.692083,2.438159,0.029932
14.709259,2.407744,0.029559
14.726435,2.419635,0.025266
14.743657,2.423509,0.040652
14.76088,2.447589,0.044734
14.776667,2.473136,0.039425
14.801065,2.428278,0.046968
14.818194,2.414672,0.01142
14.835417,2.445297,0.033256
14.852639,2.401294,0.03936
14.869861,2.426938,0.035075
14.887083,2.429434,0.036153
14.904306,2.467277,0.047708
14.921481,2.417617,0.031572
14.938657,2.445021,0.045764
14.95588,2.376738,0.039804
15.084954,2.364557,0.035466
15.102176,2.385707,0.03169
15.119398,2.380949,0.053119
15.136574,2.349308,0.03895
15.15375,2.384677,0.05036
15.170972,2.342722,0.048976
15.188194,2.348206,0.037949
15.205417,2.351727,0.039266
15.222639,2.317971,0.049363
15.239861,2.305188,0.044062
15.268472,2.297494,0.049643
15.285694,2.297561,0.03099
15.302917,2.261922,0.043584
15.320139,2.275327,0.036196
15.337361,2.322643,0.049624
15.354537,2.26692,0.027555
15.371713,2.271196,0.048693
15.388935,2.261881,0.034175
15.406157,2.274203,0.037746
15.42338,2.224526,0.030106
15.440602,2.234192,0.037756
15.457778,2.243904,0.041301
15.486435,2.21629,0.030354
15.503657,2.210824,0.049756
15.52088,2.191653,0.034288
15.538102,2.198786,0.04216
15.555324,2.176945,0.048752
15.5725,2.177021,0.035329
15.589676,2.187622,0.041314
