time,amp,sigma,band
8.4033,2.4838,0.005,b3
8.4086,2.484,0.0051,b3
8.4136,2.4833,0.0051,b3
8.4186,2.4863,0.0051,b3
8.4236,2.4809,0.0053,b3
8.4286,2.4776,0.0052,b3
8.4339,2.4754,0.005,b3
8.4389,2.4638,0.005,b3
8.4439,2.4705,0.0052,b3
8.4489,2.4694,0.0053,b3
8.4539,2.4641,0.0053,b3
8.4589,2.4603,0.0051,b3
8.4642,2.4576,0.0052,b3
8.4692,2.4561,0.0052,b3
8.4742,2.4515,0.0052,b3
8.4792,2.4492,0.0053,b3
8.4842,2.4436,0.0053,b3
8.4894,2.4445,0.0052,b3
8.4944,2.4474,0.005,b3
8.4989,2.4411,0.0053,b3
8.5044,2.4457,0.0054,b3
8.5094,2.4441,0.0051,b3
8.5136,2.4427,0.0049,b3
8.5197,2.4395,0.0053,b3
8.5242,2.4435,0.0054,b3
8.5297,2.4416,0.0055,b3
8.5342,2.4438,0.0057,b3
8.5867,2.4663,0.0053,b3
8.5919,2.4736,0.0052,b3
8.5969,2.4782,0.0054,b3
8.6019,2.483,0.0054,b3
8.6069,2.4847,0.0055,b3
8.6119,2.4858,0.0054,b3
8.6172,2.492,0.0055,b3
8.6222,2.4976,0.0055,b3
8.6272,2.5071,0.0055,b3
8.6322,2.5103,0.0055,b3
8.6372,2.5186,0.0056,b3
8.6422,2.5235,0.0059,b3
8.6469,2.5288,0.0059,b3
8.6525,2.528,0.006,b3
8.6575,2.5366,0.0055,b3
8.6625,2.532,0.0054,b3
8.6675,2.5372,0.0055,b3
8.6728,2.5458,0.0056,b3
8.6778,2.5473,0.0054,b3
8.6828,2.553,0.0054,b3
8.6878,2.5546,0.0056,b3
8.6928,2.5608,0.0056,b3
8.6981,2.5622,0.0055,b3
8.7031,2.5619,0.0055,b3
8.7081,2.5655,0.0056,b3
8.7131,2.5655,0.0055,b3
8.7181,2.5601,0.0056,b3
8.9033,2.4885,0.005,b3
8.9086,2.4859,0.005,b3
8.9136,2.4816,0.005,b3
8.9186,2.4799,0.0048,b3
8.9236,2.4764,0.005,b3
8.9286,2.4732,0.005,b3
8.9339,2.4669,0.005,b3
8.9389,2.4644,0.005,b3
8.9439,2.4608,0.0049,b3
8.9489,2.4557,0.0049,b3
8.9539,2.4525,0.0049,b3
8.9589,2.4493,0.0049,b3
8.9636,2.444,0.0051,b3
8.9692,2.4414,0.0052,b3
8.9742,2.4366,0.0052,b3
8.9792,2.4341,0.0052,b3
8.9842,2.4303,0.0052,b3
8.9894,2.4289,0.0051,b3
8.9944,2.424,0.0054,b3
8.9994,2.4213,0.0053,b3
9.0044,2.4189,0.0052,b3
9.0094,2.4154,0.0053,b3
9.0147,2.4089,0.0053,b3
9.0197,2.4079,0.0052,b3
9.0247,2.4074,0.0051,b3
9.0297,2.4079,0.0053,b3
9.0347,2.4072,0.0051,b3
9.0867,2.3898,0.0052,b3
9.0919,2.3891,0.0053,b3
9.0969,2.3856,0.0053,b3
9.1019,2.3845,0.0052,b3
9.1069,2.3805,0.0053,b3
9.1119,2.3773,0.0052,b3
9.1172,2.3767,0.0053,b3
9.1222,2.3757,0.0051,b3
9.1272,2.3712,0.005,b3
9.1322,2.3706,0.005,b3
9.1372,2.3626,0.005,b3
9.1422,2.3635,0.0051,b3
9.1475,2.3581,0.0048,b3
9.1525,2.3577,0.0052,b3
9.1575,2.3541,0.005,b3
9.1625,2.3497,0.005,b3
9.1675,2.3503,0.005,b3
9.1728,2.3476,0.0051,b3
9.1778,2.3466,0.005,b3
9.1828,2.3449,0.0049,b3
9.1878,2.3474,0.0048,b3
9.1928,2.3458,0.0049,b3
9.1981,2.3458,0.005,b3
9.2031,2.3384,0.005,b3
9.2081,2.3415,0.005,b3
9.2131,2.338,0.005,b3
9.2181,2.3357,0.0049,b3
9.4367,2.3885,0.0047,b3
9.4419,2.3806,0.0048,b3
