time,amp,sigma,band
7.5506,2.2157,0.0054,b3
7.5558,2.2136,0.005,b3
7.5608,2.21,0.0051,b3
7.5658,2.2154,0.005,b3
7.5708,2.2189,0.005,b3
7.5758,2.2073,0.0051,b3
7.5811,2.2098,0.0055,b3
7.5861,2.2139,0.0051,b3
7.5911,2.2121,0.0055,b3
7.5956,2.2286,0.0051,b3
7.6011,2.2202,0.0055,b3
7.6064,2.2207,0.0046,b3
7.6114,2.223,0.0054,b3
7.6164,2.2385,0.0052,b3
7.6214,2.2305,0.0052,b3
7.6253,2.237,0.0053,b3
7.6317,2.2319,0.005,b3
7.6361,2.2419,0.0052,b3
7.6417,2.2334,0.0049,b3
7.6467,2.2397,0.0051,b3
7.6517,2.2419,0.0051,b3
7.6569,2.2469,0.0047,b3
7.6619,2.2388,0.005,b3
7.6669,2.2333,0.0052,b3
7.6719,2.245,0.0052,b3
7.6769,2.2354,0.005,b3
7.6819,2.2339,0.0053,b3
7.6872,2.2127,0.0055,b3
7.6917,2.2101,0.0059,b3
7.7861,2.213,0.0051,b3
7.7919,2.2237,0.0055,b3
7.7969,2.2371,0.0052,b3
7.8008,2.2284,0.0051,b3
7.8069,2.2323,0.0054,b3
7.8119,2.2355,0.0047,b3
7.8172,2.2323,0.0048,b3
7.8222,2.2362,0.0051,b3
7.8272,2.2236,0.0051,b3
7.8322,2.2269,0.0052,b3
7.8372,2.224,0.0054,b3
7.8417,2.2228,0.0053,b3
7.8475,2.2216,0.0055,b3
7.8525,2.213,0.0053,b3
7.8575,2.2091,0.0058,b3
7.8625,2.2081,0.0054,b3
7.8675,2.1915,0.0055,b3
7.8728,2.2077,0.005,b3
7.8778,2.2046,0.0059,b3
7.8828,2.2098,0.005,b3
7.8878,2.1994,0.005,b3
7.8928,2.1824,0.0048,b3
7.8981,2.1961,0.0051,b3
7.9031,2.1619,0.006,b3
7.9081,2.1615,0.0058,b3
7.9131,2.1889,0.0055,b3
7.9181,2.178,0.005,b3
7.9233,2.1775,0.0056,b3
7.9283,2.1743,0.0049,b3
7.9333,2.1887,0.0053,b3
7.9378,2.1815,0.0055,b3
7.9433,2.1843,0.005,b3
7.9486,2.1853,0.0052,b3
7.9536,2.1912,0.0056,b3
7.9586,2.1878,0.0056,b3
7.9636,2.1854,0.0054,b3
7.9686,2.1817,0.0056,b3
7.9736,2.1526,0.0058,b3
7.9789,2.1836,0.0055,b3
7.9839,2.1742,0.0056,b3
8.2033,2.0301,0.0054,b3
8.2086,2.024,0.0055,b3
8.2136,2.0373,0.0057,b3
8.2186,2.0063,0.0062,b3
8.2236,2.0391,0.0053,b3
8.2286,2.0335,0.0051,b3
8.2339,2.0211,0.0048,b3
8.2389,2.0271,0.0048,b3
8.2439,2.0394,0.0054,b3
8.2489,2.0359,0.0054,b3
8.2539,2.0366,0.0055,b3
8.2589,2.0309,0.0054,b3
8.2642,2.0135,0.0061,b3
8.2692,2.0103,0.0059,b3
8.2742,2.0316,0.0054,b3
8.2792,2.0046,0.0074,b3
8.2842,2.0308,0.0065,b3
8.2894,2.0433,0.0055,b3
8.2939,2.0308,0.0057,b3
8.2994,2.0451,0.006,b3
8.3044,2.0485,0.0058,b3
8.3094,2.0484,0.0059,b3
