time,amp,sigma,band
4.9283,2.4977,0.0071,b4
4.9336,2.4866,0.0098,b4
4.9386,2.5094,0.0077,b4
4.9436,2.5257,0.0073,b4
4.9486,2.5085,0.0068,b4
4.9531,2.5031,0.0086,b4
4.9589,2.5286,0.0082,b4
4.9639,2.5207,0.0068,b4
4.9689,2.5485,0.007,b4
4.9739,2.5414,0.0066,b4
4.9789,2.5369,0.0065,b4
4.9833,2.5541,0.0072,b4
4.9892,2.5428,0.0078,b4
4.9942,2.5352,0.0081,b4
4.9992,2.5708,0.0071,b4
5.0042,2.5666,0.0071,b4
5.0092,2.5787,0.0069,b4
5.0144,2.5606,0.0071,b4
5.0194,2.574,0.0071,b4
5.0244,2.5826,0.0066,b4
5.0294,2.6013,0.0076,b4
5.0344,2.5807,0.0074,b4
5.0392,2.5935,0.0079,b4
5.0447,2.5576,0.0079,b4
5.0497,2.5885,0.0073,b4
5.0547,2.5927,0.0071,b4
5.0597,2.5663,0.0072,b4
5.1117,2.5753,0.0069,b4
5.1164,2.572,0.0077,b4
5.1219,2.5182,0.0067,b4
5.1269,2.5516,0.0076,b4
5.1319,2.5454,0.0073,b4
5.1369,2.5531,0.0073,b4
5.1422,2.525,0.0071,b4
5.1461,2.5509,0.008,b4
5.1522,2.5399,0.0063,b4
5.1572,2.5405,0.006,b4
5.1617,2.5529,0.0075,b4
5.1672,2.535,0.0075,b4
5.1719,2.5315,0.0069,b4
5.1769,2.5212,0.0075,b4
5.1825,2.5557,0.0071,b4
5.1875,2.5172,0.0079,b4
5.1925,2.5507,0.0074,b4
5.1978,2.5329,0.0065,b4
5.2028,2.5429,0.0077,b4
5.2078,2.5278,0.0071,b4
5.2128,2.5191,0.0069,b4
5.2178,2.5316,0.0076,b4
6.045,2.5073,0.0062,b4
6.0503,2.5074,0.0063,b4
6.0553,2.4658,0.006,b4
6.0603,2.4696,0.0077,b4
6.0653,2.4967,0.0094,b4
6.0703,2.5138,0.0062,b4
6.0756,2.5059,0.0057,b4
6.0806,2.5085,0.0067,b4
6.0856,2.4656,0.0064,b4
6.0906,2.3961,0.0081,b4
6.0956,2.5011,0.0065,b4
6.1006,2.4344,0.0089,b4
6.1058,2.4653,0.0086,b4
6.1108,2.4772,0.0086,b4
6.1153,2.5088,0.0062,b4
6.1208,2.4576,0.0059,b4
6.1253,2.4814,0.0065,b4
6.1311,2.4663,0.0068,b4
6.1361,2.4791,0.0068,b4
6.1411,2.4852,0.0095,b4
6.1461,2.4698,0.0067,b4
6.1511,2.4547,0.0072,b4
6.1933,2.4974,0.0066,b4
6.1983,2.4848,0.0065,b4
6.2033,2.5023,0.0068,b4
6.2086,2.4769,0.008,b4
6.2136,2.4615,0.0077,b4
6.2186,2.4917,0.0067,b4
6.2236,2.4655,0.0068,b4
6.2286,2.4775,0.0073,b4
6.2339,2.4377,0.0062,b4
6.2389,2.4041,0.0059,b4
6.2439,2.4395,0.0062,b4
6.2489,2.45,0.0059,b4
6.2539,2.3746,0.0089,b4
6.2578,2.4045,0.0086,b4
6.2642,2.4036,0.0087,b4
6.2692,2.4528,0.0069,b4
6.2742,2.4081,0.0079,b4
6.2792,2.4412,0.0064,b4
6.2842,2.4402,0.0069,b4
6.2894,2.4412,0.0069,b4
6.2944,2.4224,0.007,b4
6.2994,2.4259,0.0069,b4
6.3044,2.3899,0.0085,b4
6.3094,2.3966,0.0084,b4
6.3147,2.4011,0.0067,b4
6.3197,2.3404,0.0072,b4
6.3247,2.3524,0.0103,b4
6.3297,2.3386,0.007,b4
6.3347,2.3481,0.0062,b4
6.5783,2.432,0.0069,b4
6.5836,2.4165,0.0063,b4
6.5886,2.4184,0.0063,b4
6.5936,2.4046,0.0064,b4
6.5986,2.4215,0.0061,b4
6.6036,2.4164,0.0062,b4
6.6089,2.4189,0.0059,b4
6.6139,2.4145,0.0062,b4
6.6189,2.4209,0.0061,b4
6.6239,2.4263,0.006,b4
6.6289,2.424,0.007,b4
6.6339,2.4141,0.0072,b4
6.6392,2.4148,0.0057,b4
6.6442,2.424,0.0064,b4
6.6486,2.424,0.0065,b4
6.6542,2.4274,0.0062,b4
6.6586,2.4043,0.0065,b4
6.6644,2.3959,0.0078,b4
6.6694,2.4221,0.0073,b4
6.6744,2.3928,0.0067,b4
6.6794,2.4079,0.0061,b4
6.6844,2.3435,0.0094,b4
6.6892,2.3711,0.0078,b4
6.6942,2.3968,0.0059,b4
6.6997,2.3913,0.0061,b4
6.7047,2.3641,0.0064,b4
6.7092,2.3785,0.0065,b4
6.715,2.3762,0.0065,b4
6.77,2.4178,0.0062,b4
6.7753,2.3691,0.0062,b4
6.7803,2.405,0.0063,b4
6.7853,2.3848,0.007,b4
6.7903,2.3798,0.0063,b4
6.7953,2.3866,0.0064,b4
6.8006,2.3606,0.0072,b4
6.8056,2.3733,0.0069,b4
6.8106,2.3217,0.0072,b4
6.815,2.339,0.0075,b4
6.8206,2.3145,0.0081,b4
6.8256,2.3064,0.0084,b4
6.8292,2.3663,0.0059,b4
6.8358,2.3908,0.0067,b4
6.8403,2.3831,0.0058,b4
6.8458,2.3147,0.0079,b4
6.8508,2.3666,0.0057,b4
6.8561,2.3435,0.0044,b4
6.8611,2.3064,0.0052,b4
6.8661,2.258,0.007,b4
7.1617,2.358,0.0065,b4
7.1669,2.3712,0.0057,b4
7.1719,2.3403,0.0057,b4
7.1764,2.3615,0.0065,b4
7.1808,2.3668,0.0064,b4
7.1864,2.3342,0.0063,b4
7.1922,2.3326,0.0071,b4
7.1972,2.3571,0.0064,b4
7.2022,2.372,0.0061,b4
7.2072,2.3787,0.0062,b4
7.2122,2.3842,0.0066,b4
7.2172,2.373,0.0064,b4
7.2225,2.4,0.0059,b4
7.2275,2.394,0.0062,b4
7.2325,2.4086,0.0056,b4
7.2375,2.4012,0.0055,b4
7.2425,2.4035,0.0055,b4
7.2478,2.4127,0.0058,b4
7.2528,2.4148,0.0055,b4
